class,precision,recall,f1_score,support
A,0.02,0.04,0.03,200.0
B,0.44,0.67,0.53,200.0
C,0.89,0.58,0.7,200.0
D,0.17,0.43,0.24,200.0
E,0.0,0.0,0.0,200.0
F,0.38,0.59,0.46,200.0
G,0.88,0.41,0.56,200.0
I,0.5,0.47,0.49,200.0
L,0.88,1.0,0.93,200.0
M,0.0,0.0,0.0,200.0
N,1.0,0.13,0.23,200.0
O,0.34,1.0,0.51,200.0
P,0.94,0.23,0.36,200.0
Q,0.05,0.03,0.04,200.0
R,0.0,0.0,0.0,200.0
S,0.46,0.77,0.58,200.0
T,0.94,0.32,0.47,200.0
U,0.64,0.23,0.34,200.0
V,0.89,0.27,0.41,200.0
W,0.93,1.0,0.96,200.0
Y,0.94,0.87,0.9,200.0
